reviewer_name,reviewer_rating,review_title,review_text,place_of_review,date_of_review,upvotes,downvotes
Subhasri Renganathan,,Moderate,Very perfect in size and quality of the product but it is not light weight .... But worth of money..... Buy this it's good.READ MORE,"Certified Buyer, Chengalpattu","Jun, 2021",11,11
Mohammad Feroz,5,Wonderful,Very nice tawaREAD MORE,"Certified Buyer, Muzaffarpur District","Oct, 2022",2,2
Ankita  Mishra ,3,Decent product,Quality is very bad of this tava... paint has gone after 1st useREAD MORE,"Certified Buyer, Jaunpur District","Sep, 2022",2,2
Soma Banerjee,5,Excellent,Not used yet but looking goodREAD MORE,"Certified Buyer, Lucknow","Jul, 2022",0,0
Abdul  Jaleel ,5,Perfect product!,Good productREAD MORE,"Certified Buyer, Pathanamthitta District","Jul, 2022",0,0
Flipkart Customer,5,Worth every penny,Awesome product thank flipREAD MORE,"Certified Buyer, Manjeri","Jun, 2022",1,1
Flipkart Customer,4,Wonderful,Value for moneyREAD MORE,"Certified Buyer, Etawah District","May, 2022",0,0
Anu Anand,5,Awesome,Very amazing👍😍READ MORE,"Certified Buyer, Thane","May, 2022",0,0
sunil lenka,3,Nice,"I had used the product for a week, based on my experience in writing this review. The red color coating came off within a day (within a 3 times usage). Induction was good. Overall a decent product in that price range.READ MORE","Certified Buyer, Vizianagaram","Mar, 2022",2,2
Preethi Shetty,4,Very Good,"Best in this price.... quality I don't know,till now I didn't usedREAD MORE","Certified Buyer, Bengaluru","Jan, 2022",1,1
Maheswari,5,Perfect product!,"Worth product,, nice quality, thkuu FlipkartREAD MORE","Certified Buyer, Nagercoil","Jan, 2022",1,1
Aditya kumar Sahu,4,Nice product,"Best in the market , Thanks for flipkart and delivery 🚚 boyREAD MORE","Certified Buyer, Polasara","Oct, 2021",2,2
Sunilgunagi  Gunagi,5,Wonderful,GoodREAD MORE,"Certified Buyer, Uttara Kannada District","Aug, 2021",1,1
ganesh M,4,Good quality product,GoodREAD MORE,"Certified Buyer, Ranga Reddy","Jul, 2021",2,2
Flipkart Customer,4,Good choice,The tawa is so strong and nice design. But it could have been  included  a wood spoon along with the tawaREAD MORE,"Certified Buyer, Pathanamthitta District","Jun, 2021",1,1
Flipkart Customer,5,Simply awesome,Very nice .good qualityREAD MORE,"Certified Buyer, Fatehpur Sikri","Jul, 2020",0,0
Flipkart Customer,3,Does the job,AverageREAD MORE,"Certified Buyer, Nellore","Jul, 2020",0,0
Prabhjot kour Kour,,Waste of money!,Down surface up and down soo that is why not compatible for induction.READ MORE,"Certified Buyer, Kathua District","Mar, 2022",3,3
Jishu,3,Does the job,' goodREAD MORE,"Certified Buyer, Triprangode","Jul, 2020",2,2
Sandhya Simha,3,Just okay,Small sizeREAD MORE,"Certified Buyer, Nellore","Jul, 2021",0,0
Adiba Rehan,4,Pretty good,Small sizeREAD MORE,"Certified Buyer, Hyderabad",11 months ago,0,0
Dharni Jaipuria,,Unsatisfactory,Bad productsREAD MORE,"Certified Buyer, Kuchinda",10 months ago,0,0
Ankit Sharma,5,Simply awesome,Nice tawa value for moneyREAD MORE,"Certified Buyer, Rohtas District",11 months ago,0,0
Flipkart Customer,5,Terrific purchase,GoodREAD MORE,"Certified Buyer, Ballia District","Mar, 2022",1,1
Sukhvinder kaur Kaur,5,Wonderful,Beautiful dal ke chille bane... Thank u flipcart❤READ MORE,"Certified Buyer, New Delhi","Dec, 2021",0,0
Flipkart Customer,5,Terrific,Nice product and value of money item was too good I'll prefer this only and it can use only dosa purpose onlyREAD MORE,"Certified Buyer, Mantralayam","Apr, 2022",22,22
Kafeel S kafeel,,Hated it!,Not good r not badREAD MORE,"Certified Buyer, Palamaner","Oct, 2020",1,1
Claret Fernandes,4,Very Good,Good productREAD MORE,"Certified Buyer, Mandrem","Nov, 2021",9,9
Flipkart Customer,5,Terrific,Worth for money 💝READ MORE,"Certified Buyer, Veerapandi Coimbatore District","Jul, 2021",0,0
